@attribute tituloNumerico real,@attribute descripcionNumerico real,@attribute keywordsNumerico real,@attribute totalPalabras real,@attribute numeroLinksTotales real,@attribute numeroLinksEnDiccionario real,@attribute h1EnDiccionario real,@attribute numeroImagenesTotales real,@attribute numeroImagenesConAltEnDicciona real,@attribute tituloNumericoEnlaces real,@attribute keywordsNumericoEnlaces real
0,0,0,0,0,0,0,0,0,0.00,0.00
2,11,0,14,24,0,0,2,1,0.00,0.00
0,0,0,224,50,7,0,3,0,0.00,0.00
1,0,0,1025,136,8,0,36,17,0.00,0.00
1,3,1,544,77,3,1,4,0,0.00,0.00
0,0,0,161,36,3,0,8,0,0.00,0.00
1,0,0,3257,91,25,0,0,0,0.00,0.00
0,2,1,178,79,10,1,8,1,0.00,0.00
1,0,0,154,34,2,0,31,0,0.00,0.00
0,1,0,103,46,5,0,3,0,0.00,0.00
0,0,0,275,2,0,1,0,0,0.00,0.00
1,0,0,270,65,6,0,17,1,0.00,0.00
1,5,4,272,274,27,0,2,1,0.00,0.00
0,0,0,26,37,1,0,40,1,0.00,0.00
0,2,0,141,32,1,0,16,1,0.00,0.00
0,0,0,10,0,0,0,0,0,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,1,1,183,50,9,0,55,2,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
1,1,1,47,32,3,0,54,3,0.50,0.00
1,0,0,492,39,4,0,9,0,0.00,0.00
1,0,0,403,133,16,0,4,2,0.00,0.00
1,0,1,211,60,4,0,19,0,0.00,0.00
0,0,0,91,5,0,0,1,0,0.00,0.00
0,0,0,442,75,6,0,12,1,0.00,0.00
0,1,2,126,49,7,0,23,2,0.00,0.00
0,0,0,18,39,3,0,5,1,0.00,0.00
2,0,0,361,38,3,0,8,0,0.00,0.00
0,2,0,138,168,19,0,101,6,0.00,0.00
0,0,0,110,59,9,0,3,0,0.00,0.00
1,3,0,283,73,8,0,21,4,0.00,0.00
1,1,0,191,78,3,0,8,6,0.00,0.00
1,0,0,163,92,9,0,9,0,0.00,0.00
0,3,0,14,63,6,0,6,0,0.00,0.00
1,0,0,362,38,3,0,9,0,0.00,0.00
1,0,0,359,101,7,0,1,0,0.00,0.00
0,0,1,610,35,0,0,4,0,0.00,0.00
0,0,0,17,32,5,0,0,0,0.00,0.00
1,2,0,428,41,4,1,2,0,0.00,0.00
1,1,0,254,25,4,0,1,0,0.00,0.00
0,2,0,102,73,12,0,25,4,0.00,0.00
1,3,0,515,350,51,0,39,1,0.00,0.00
0,0,0,4557,450,46,0,26,1,0.00,0.00
1,0,0,29,31,13,0,1,0,0.00,0.00
1,0,0,187,92,8,0,9,0,0.00,0.00
1,0,0,195,90,7,0,9,0,0.00,0.00
1,0,0,269,37,13,1,2,0,0.00,0.00
2,0,0,62,44,7,0,9,2,0.00,0.00
0,0,0,128,120,28,0,0,0,0.00,0.00
0,0,0,270,35,2,0,5,0,0.00,0.00
0,1,0,248,122,8,1,14,0,0.00,0.00
1,0,3,20,22,2,0,1,0,0.00,0.00
2,4,1,297,55,10,0,33,0,0.00,0.00
1,0,0,25,24,2,1,0,0,0.00,0.00
0,0,0,16,1,0,0,0,0,0.00,0.00
0,2,0,1764,92,8,0,14,1,0.00,0.00
0,4,0,325,88,3,0,59,3,0.00,0.00
0,0,0,309,12,0,0,3,0,0.00,0.00
0,1,0,516,335,26,0,36,5,0.00,0.00
0,0,0,211,87,5,0,10,0,0.00,0.00
0,3,0,166,42,1,0,28,2,0.00,0.00
1,3,1,647,183,5,0,46,0,0.00,0.00
0,0,0,137,55,7,0,5,0,0.00,0.00
0,0,0,111,11,2,0,0,0,0.00,0.00
0,0,0,4,94,1,0,11,0,0.00,0.00
0,0,0,133,18,1,0,0,0,0.00,0.00
1,0,0,149,95,9,0,14,0,0.00,0.00
0,4,0,161,249,86,0,6,0,0.00,0.00
0,0,0,210,30,3,0,26,4,0.00,0.00
1,0,0,7,56,6,0,50,1,0.00,0.00
0,0,0,194,96,8,0,14,0,0.00,0.00
0,0,0,80,18,0,0,0,0,0.00,0.00
1,2,0,222,27,3,0,3,1,0.00,0.00
0,0,0,72,49,5,0,7,1,0.00,0.00
0,0,0,41,86,5,0,132,2,0.00,0.00
1,2,0,587,42,2,0,6,0,0.00,0.00
0,0,3,2290,325,30,0,33,3,0.00,0.00
0,0,1,244,45,9,0,4,1,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,297,47,3,0,3,1,0.00,0.00
2,4,0,156,55,3,0,6,0,0.00,0.00
1,0,0,138,108,5,0,28,0,0.00,0.00
1,0,0,248,36,7,0,1,0,0.00,0.00
1,7,6,210,67,2,0,5,1,0.00,0.00
0,1,1,85,66,4,0,12,1,0.00,0.00
1,0,0,907,139,11,3,3,0,0.00,0.00
1,1,0,205,24,1,0,3,0,0.00,0.00
2,0,0,277,48,4,0,7,3,0.00,0.00
0,0,0,0,0,0,0,0,0,0.00,0.00
0,0,0,272,38,2,0,4,0,0.00,0.00
0,3,2,5,11,0,0,1,0,0.00,0.00
0,2,0,476,36,0,0,20,2,0.00,0.00
0,0,0,109,24,0,0,12,0,0.00,0.00
0,0,0,304,85,2,0,18,0,0.00,0.00
0,0,0,119,104,9,0,23,1,0.00,0.00
0,0,0,2541,534,57,0,73,0,0.00,0.00
0,3,3,313,34,3,0,3,0,0.00,0.00
1,0,0,0,0,0,0,0,0,0.00,0.00
0,2,2,532,198,17,0,24,0,0.00,0.00
1,5,1,73,38,5,1,2,0,0.00,0.00
0,1,0,37,105,4,0,14,0,0.00,0.00
0,0,0,20,7,1,1,1,0,0.00,0.00
1,1,2,1789,252,26,0,167,16,0.00,0.00
0,2,0,67,37,4,0,6,0,0.00,0.00
0,0,0,372,40,2,0,11,0,0.00,0.00
1,0,0,291,24,2,0,2,0,0.00,0.00
1,2,1,275,57,2,0,19,2,0.00,0.00
0,0,0,129,54,8,0,9,0,0.00,0.00
1,2,0,32,10,1,0,8,0,0.00,0.00
0,1,0,197,57,2,0,38,1,0.00,0.00
1,2,5,94,61,6,0,4,0,0.00,0.00
1,1,0,130,62,5,0,5,0,0.00,0.00
0,0,0,15,19,0,0,16,0,0.00,0.00
1,11,7,266,70,12,0,8,0,0.00,0.00
1,0,0,446,70,7,0,6,1,0.00,0.00
1,5,0,58,257,19,0,26,0,0.00,0.00
1,3,0,81,42,5,0,9,0,0.00,0.00
0,0,0,2,12,1,0,1,0,0.00,0.00
0,1,2,177,31,5,0,8,0,0.00,0.00
0,5,0,256,58,3,0,12,0,0.00,0.00
1,1,0,345,115,9,0,88,7,0.00,0.00
0,0,0,967,360,19,0,54,7,0.00,0.00
2,0,0,710,93,7,0,16,3,0.00,0.00
0,5,0,111,38,6,0,10,1,0.00,0.00
1,4,0,260,69,9,0,11,1,0.00,0.00
0,0,0,209,39,0,0,1,0,0.00,0.00
0,0,0,426,64,4,0,8,1,0.00,0.00
0,0,0,656,134,6,0,0,0,0.00,0.00
1,1,0,468,66,3,0,31,2,0.00,0.00
1,0,0,116,14,1,0,13,0,0.00,0.00
0,1,1,380,86,11,0,9,1,0.00,0.00
1,0,0,35,34,6,0,31,1,0.00,0.00
0,4,0,130,41,8,1,2,0,0.00,0.00
1,1,0,15,34,8,2,4,0,0.00,0.00
1,1,0,228,58,8,0,4,0,0.00,0.00
1,1,0,276,57,10,0,19,2,0.00,0.00
2,3,3,134,67,12,0,35,3,0.00,0.00
0,0,0,217,82,5,0,39,3,0.00,0.00
